identifier,DateTime,AmbientTemperature,ExhaustVacuum,AmbientPressure,RelativeHumidity,ElectricalOutput
85,2/5/2016 23:00,24.09,73.68,1014.93,94.55,441.34
86,2/6/2016 0:00,20.45,69.45,1012.53,91.81,441.83
87,2/6/2016 1:00,15.07,39.3,1019,63.62,464.7
88,2/6/2016 2:00,32.72,69.75,1009.6,49.35,437.99
89,2/6/2016 3:00,18.23,58.96,1015.55,69.61,459.12
90,2/6/2016 4:00,35.56,68.94,1006.56,38.75,429.69
91,2/6/2016 5:00,18.36,51.43,1010.57,90.17,459.8
92,2/6/2016 6:00,26.35,64.05,1009.81,81.24,433.63
93,2/6/2016 7:00,25.92,60.95,1014.62,48.46,442.84
94,2/6/2016 8:00,8.01,41.66,1014.49,76.72,485.13
95,2/6/2016 9:00,19.63,52.72,1025.09,51.16,459.12
96,2/6/2016 10:00,20.02,67.32,1012.05,76.34,445.31
97,2/6/2016 11:00,10.08,40.72,1022.7,67.3,480.8
98,2/6/2016 12:00,27.23,66.48,1005.23,52.38,432.55
99,2/6/2016 13:00,23.37,63.77,1013.42,76.44,443.86
100,2/6/2016 14:00,18.74,59.21,1018.3,91.55,449.77
101,2/6/2016 15:00,14.81,43.69,1017.19,71.9,470.71
102,2/6/2016 16:00,23.1,51.3,1011.93,80.05,452.17
103,2/6/2016 17:00,10.72,41.38,1021.6,63.77,478.29
104,2/6/2016 18:00,29.46,71.94,1006.96,62.26,428.54
105,2/6/2016 19:00,8.1,40.64,1020.66,89.04,478.27
106,2/6/2016 20:00,27.29,62.66,1007.63,58.02,439.58
107,2/6/2016 21:00,17.1,49.69,1005.53,81.82,457.32
108,2/6/2016 22:00,11.49,44.2,1018.79,91.14,475.51
109,2/6/2016 23:00,23.69,65.59,1010.85,88.92,439.66
110,2/7/2016 0:00,13.51,40.89,1011.03,84.83,471.99
111,2/7/2016 1:00,9.64,39.35,1015.1,91.76,479.81
112,2/7/2016 2:00,25.65,78.92,1010.83,86.56,434.78
113,2/7/2016 3:00,21.59,61.87,1011.18,57.21,446.58
114,2/7/2016 4:00,27.98,58.33,1013.92,54.25,437.76
115,2/7/2016 5:00,18.8,39.72,1001.24,63.8,459.36
116,2/7/2016 6:00,18.28,44.71,1016.99,33.71,462.28
117,2/7/2016 7:00,13.55,43.48,1016.08,67.25,464.33
118,2/7/2016 8:00,22.99,46.21,1010.71,60.11,444.36
119,2/7/2016 9:00,23.94,59.39,1014.32,74.55,438.64
120,2/7/2016 10:00,13.74,34.03,1018.69,67.34,470.49
121,2/7/2016 11:00,21.3,41.1,1001.86,42.75,455.13
122,2/7/2016 12:00,27.54,66.93,1017.06,55.2,450.22
123,2/7/2016 13:00,24.81,63.73,1009.34,83.61,440.43
124,2/7/2016 14:00,4.97,42.85,1014.02,88.78,482.98
125,2/7/2016 15:00,15.22,50.88,1014.19,100.12,460.44
126,2/7/2016 16:00,23.88,54.2,1012.81,64.52,444.97
127,2/7/2016 17:00,33.01,68.67,1005.2,51.41,433.94
128,2/7/2016 18:00,25.98,73.18,1012.28,85.78,439.73
129,2/7/2016 19:00,28.18,73.88,1005.89,75.41,434.48
130,2/7/2016 20:00,21.67,60.84,1017.93,81.63,442.33
131,2/7/2016 21:00,17.67,45.09,1014.26,51.92,457.67
132,2/7/2016 22:00,21.37,57.76,1018.8,70.12,454.66
133,2/7/2016 23:00,28.69,67.25,1017.71,53.83,432.21
134,2/8/2016 0:00,16.61,43.77,1012.25,77.23,457.66
135,2/8/2016 1:00,27.91,63.76,1010.27,65.67,435.21
136,2/8/2016 2:00,20.97,47.43,1007.64,71.18,448.22
137,2/8/2016 3:00,10.8,41.66,1013.79,81.96,475.51
138,2/8/2016 4:00,20.61,62.91,1013.24,79.54,446.53
139,2/8/2016 5:00,25.45,57.32,1011.7,47.09,441.3
140,2/8/2016 6:00,30.16,69.34,1007.67,57.69,433.54
141,2/8/2016 7:00,4.99,39.04,1020.45,78.89,472.52
142,2/8/2016 8:00,10.51,44.78,1012.59,85.29,474.77
143,2/8/2016 9:00,33.79,69.05,1001.62,40.13,435.1
144,2/8/2016 10:00,21.34,59.8,1016.92,77.06,450.74
145,2/8/2016 11:00,23.4,65.06,1014.32,67.38,442.7
146,2/8/2016 12:00,32.21,68.14,1003.34,62.44,426.56
147,2/8/2016 13:00,14.26,42.32,1016,77.43,463.71
148,2/8/2016 14:00,27.71,66.93,1016.85,58.77,447.06
149,2/8/2016 15:00,21.95,57.76,1018.02,67.72,452.27
150,2/8/2016 16:00,25.76,63.94,1018.49,42.14,445.78
151,2/8/2016 17:00,23.68,68.3,1017.93,84.16,438.65
152,2/8/2016 18:00,8.28,40.77,1011.55,89.79,480.15
153,2/8/2016 19:00,23.44,62.52,1016.46,67.21,447.19
154,2/8/2016 20:00,25.32,48.41,1008.47,72.14,443.04
155,2/8/2016 21:00,3.94,39.9,1008.06,97.49,488.81
156,2/8/2016 22:00,17.3,57.76,1016.26,87.74,455.75
157,2/8/2016 23:00,18.2,49.39,1018.83,96.3,455.86
158,2/9/2016 0:00,21.43,46.97,1013.94,61.25,457.68
159,2/9/2016 1:00,11.16,40.05,1014.95,88.38,479.11
160,2/9/2016 2:00,30.38,74.16,1007.44,74.77,432.84
161,2/9/2016 3:00,23.36,62.52,1016.18,68.18,448.37
162,2/9/2016 4:00,21.69,47.45,1007.56,77.2,447.06
163,2/9/2016 5:00,23.62,49.21,1014.1,49.54,443.53
164,2/9/2016 6:00,21.87,61.45,1011.13,92.22,445.21
165,2/9/2016 7:00,29.25,66.51,1015.53,33.65,441.7
166,2/9/2016 8:00,20.03,66.86,1013.05,64.59,450.93
167,2/9/2016 9:00,18.14,49.78,1002.95,100.09,451.44
168,2/9/2016 10:00,24.23,56.89,1012.32,68.04,441.29
169,2/9/2016 11:00,18.11,44.85,1014.48,48.94,458.85
170,2/9/2016 12:00,6.57,43.65,1018.24,74.47,481.46
171,2/9/2016 13:00,12.56,43.41,1016.93,81.02,467.19
172,2/9/2016 14:00,13.4,41.58,1020.5,71.17,461.54
173,2/9/2016 15:00,27.1,52.84,1006.28,53.85,439.08
174,2/9/2016 16:00,14.28,42.74,1028.79,70.67,467.22
175,2/9/2016 17:00,16.29,44.34,1019.49,59.36,468.8
176,2/9/2016 18:00,31.24,71.98,1004.66,57.17,426.93
177,2/9/2016 19:00,10.57,37.73,1024.36,70.29,474.65
178,2/9/2016 20:00,13.8,44.21,1022.93,83.37,468.97
179,2/9/2016 21:00,25.3,71.58,1010.18,87.36,433.97
180,2/9/2016 22:00,18.06,50.16,1009.52,100.09,450.53
181,2/9/2016 23:00,25.42,59.04,1011.98,68.78,444.51
182,2/10/2016 0:00,15.07,40.69,1015.29,70.98,469.03
183,2/10/2016 1:00,11.75,71.14,1019.36,75.68,466.56
184,2/10/2016 2:00,20.23,52.05,1012.15,47.49,457.57
185,2/10/2016 3:00,27.31,59.54,1006.24,71.99,440.13
186,2/10/2016 4:00,28.57,69.84,1003.57,66.55,433.24
187,2/10/2016 5:00,17.9,43.72,1008.64,74.73,452.55
188,2/10/2016 6:00,23.83,71.37,1002.04,64.78,443.29
189,2/10/2016 7:00,27.92,74.99,1005.47,75.13,431.76
190,2/10/2016 8:00,17.34,44.78,1007.81,56.38,454.97
191,2/10/2016 9:00,17.94,63.07,1012.42,94.35,456.7
192,2/10/2016 10:00,6.4,39.9,1007.75,86.55,486.03
193,2/10/2016 11:00,11.78,39.96,1011.37,82.95,472.79
194,2/10/2016 12:00,20.28,57.25,1010.12,88.42,452.03
195,2/10/2016 13:00,21.04,54.2,1012.26,85.61,443.41
196,2/10/2016 14:00,25.11,67.32,1014.49,58.39,441.93
197,2/10/2016 15:00,30.28,70.98,1007.51,74.28,432.64
198,2/10/2016 16:00,8.14,36.24,1013.15,87.85,480.25
199,2/10/2016 17:00,16.86,39.63,1004.47,83.5,466.68
200,2/10/2016 18:00,6.25,40.07,1020.19,65.24,494.39
201,2/10/2016 19:00,22.35,54.42,1012.46,75.01,454.72
202,2/10/2016 20:00,17.98,56.85,1012.28,84.52,448.71
203,2/10/2016 21:00,21.19,42.48,1013.43,80.52,469.76
204,2/10/2016 22:00,20.94,44.89,1009.64,75.14,450.71
205,2/10/2016 23:00,24.23,58.79,1009.8,75.75,444.01
206,2/11/2016 0:00,19.18,58.2,1017.46,76.72,453.2
207,2/11/2016 1:00,20.88,57.85,1012.39,85.47,450.87
208,2/11/2016 2:00,23.67,63.86,1019.67,57.95,441.73
209,2/11/2016 3:00,14.12,39.52,1018.41,78.32,465.09
210,2/11/2016 4:00,25.23,64.63,1020.59,52.2,447.28
211,2/11/2016 5:00,6.54,39.33,1011.54,93.69,491.16
212,2/11/2016 6:00,20.08,62.52,1017.99,75.74,450.98
213,2/11/2016 7:00,24.67,63.56,1013.75,67.56,446.3
214,2/11/2016 8:00,27.82,79.74,1008.37,69.46,436.48
215,2/11/2016 9:00,15.55,42.03,1017.41,74.58,460.84
216,2/11/2016 10:00,24.26,69.51,1013.43,53.23,442.56
217,2/11/2016 11:00,13.45,41.49,1020.19,88.72,467.3
218,2/11/2016 12:00,11.06,40.64,1021.47,96.16,479.13
219,2/11/2016 13:00,24.91,52.3,1008.72,68.26,441.15
220,2/11/2016 14:00,22.39,59.04,1011.78,86.39,445.52
221,2/11/2016 15:00,11.95,40.69,1015.62,85.34,475.4
222,2/11/2016 16:00,14.85,40.69,1014.91,72.64,469.3
223,2/11/2016 17:00,10.11,41.62,1017.17,97.82,463.57
224,2/11/2016 18:00,23.67,68.67,1006.71,77.22,445.32
225,2/11/2016 19:00,16.14,44.21,1020.36,80.59,461.03
226,2/11/2016 20:00,15.11,43.13,1014.99,46.91,466.74
227,2/11/2016 21:00,24.14,59.87,1018.47,57.76,444.04
228,2/11/2016 22:00,30.08,67.25,1017.6,53.09,434.01
229,2/11/2016 23:00,14.77,44.9,1020.5,84.31,465.23
230,2/12/2016 0:00,27.6,69.34,1009.63,71.58,440.6
231,2/12/2016 1:00,13.89,44.84,1023.66,92.97,466.74
232,2/12/2016 2:00,26.85,75.6,1017.43,74.55,433.48
233,2/12/2016 3:00,12.41,40.96,1023.36,78.96,473.59
234,2/12/2016 4:00,13.08,41.74,1020.75,64.44,474.81
235,2/12/2016 5:00,18.93,44.06,1017.58,68.23,454.75
236,2/12/2016 6:00,20.5,49.69,1009.6,70.81,452.94
237,2/12/2016 7:00,30.72,69.13,1009.94,61.66,435.83
238,2/12/2016 8:00,7.55,39.22,1014.53,77.76,482.19
239,2/12/2016 9:00,13.49,44.47,1030.46,69.49,466.66
240,2/12/2016 10:00,15.62,40.12,1013.03,96.26,462.59
241,2/12/2016 11:00,24.8,64.63,1020.69,55.74,447.82
242,2/12/2016 12:00,10.03,41.62,1014.55,95.61,462.73
243,2/12/2016 13:00,22.43,63.21,1012.06,84.75,447.98
244,2/12/2016 14:00,14.95,39.31,1009.15,75.3,462.72
245,2/12/2016 15:00,24.78,58.46,1016.82,67.5,442.42
246,2/12/2016 16:00,23.2,48.41,1008.64,80.92,444.69
247,2/12/2016 17:00,14.01,39,1016.73,79.23,466.7
248,2/12/2016 18:00,19.4,64.63,1020.38,81.1,453.84
249,2/12/2016 19:00,30.15,67.32,1013.83,32.8,436.92
250,2/12/2016 20:00,6.91,36.08,1021.82,84.31,486.37
251,2/12/2016 21:00,29.04,60.07,1015.42,46.15,440.43
252,2/12/2016 22:00,26.02,63.07,1010.94,53.96,446.82
253,2/12/2016 23:00,5.89,39.48,1005.11,59.83,484.91
254,2/13/2016 0:00,26.52,71.64,1008.27,75.3,437.76
255,2/13/2016 1:00,28.53,68.08,1013.27,42.53,438.91
256,2/13/2016 2:00,16.59,39.54,1007.97,70.58,464.19
257,2/13/2016 3:00,22.95,67.79,1009.89,91.69,442.19
258,2/13/2016 4:00,23.96,47.43,1008.38,63.55,446.86
259,2/13/2016 5:00,17.48,44.2,1018.89,61.51,457.15
260,2/13/2016 6:00,6.69,43.65,1020.14,69.55,482.57
261,2/13/2016 7:00,10.25,41.26,1007.44,98.08,476.03
262,2/13/2016 8:00,28.87,72.58,1008.69,79.34,428.89
263,2/13/2016 9:00,12.04,40.23,1018.07,81.28,472.7
264,2/13/2016 10:00,22.58,52.3,1009.04,78.99,445.6
265,2/13/2016 11:00,15.12,52.05,1014.63,80.38,464.78
266,2/13/2016 12:00,25.48,58.95,1017.02,51.16,440.42
267,2/13/2016 13:00,27.87,70.79,1003.96,72.17,428.41
268,2/13/2016 14:00,23.72,70.47,1010.65,75.39,438.5
269,2/13/2016 15:00,25,59.43,1007.84,68.91,438.28
270,2/13/2016 16:00,8.42,40.64,1022.35,96.38,476.29
271,2/13/2016 17:00,22.46,58.49,1011.5,70.54,448.46
272,2/13/2016 18:00,29.92,57.19,1008.62,45.8,438.99
273,2/13/2016 19:00,11.68,39.22,1017.9,57.95,471.8
274,2/13/2016 20:00,14.04,42.44,1012.74,81.89,471.81
275,2/13/2016 21:00,19.86,59.14,1016.12,69.32,449.82
276,2/13/2016 22:00,25.99,68.08,1013.13,59.14,442.14
277,2/13/2016 23:00,23.42,58.79,1009.74,81.54,441.46
278,2/14/2016 0:00,10.6,40.22,1011.37,85.81,477.62
279,2/14/2016 1:00,20.97,61.87,1011.45,65.41,446.76
280,2/14/2016 2:00,14.14,39.82,1012.46,81.15,472.52
281,2/14/2016 3:00,8.56,40.71,1021.27,95.87,471.58
282,2/14/2016 4:00,24.86,72.39,1001.15,90.24,440.85
283,2/14/2016 5:00,29,77.54,1011.33,75.13,431.37
284,2/14/2016 6:00,27.59,71.97,1008.64,88.22,437.33
285,2/14/2016 7:00,10.45,40.71,1015.68,81.48,469.22
286,2/14/2016 8:00,8.51,40.78,1023.51,89.84,471.11
287,2/14/2016 9:00,29.82,66.51,1010.98,43.57,439.17
288,2/14/2016 10:00,22.56,62.26,1012.11,63.16,445.33
289,2/14/2016 11:00,11.38,39.22,1018.62,57.14,473.71
290,2/14/2016 12:00,20.25,57.76,1016.28,77.76,452.66
291,2/14/2016 13:00,22.42,59.43,1007.12,90.56,440.99
292,2/14/2016 14:00,14.85,38.91,1014.48,60.98,467.42
293,2/14/2016 15:00,25.62,58.82,1010.02,70.31,444.14
294,2/14/2016 16:00,19.85,56.53,1020.57,74.05,457.17
295,2/14/2016 17:00,13.67,54.3,1015.92,75.42,467.87
296,2/14/2016 18:00,24.39,70.72,1009.78,82.25,442.04
297,2/14/2016 19:00,16.07,44.58,1019.52,67.95,471.36
298,2/14/2016 20:00,11.6,39.1,1009.81,100.09,460.7
299,2/14/2016 21:00,31.38,70.83,1010.35,47.28,431.33
300,2/14/2016 22:00,29.91,76.86,998.59,72.41,432.6
301,2/14/2016 23:00,19.67,59.39,1014.07,77.67,447.61
302,2/15/2016 0:00,27.18,64.79,1016.27,63.7,443.87
303,2/15/2016 1:00,21.39,52.3,1009.2,79.77,446.87
304,2/15/2016 2:00,10.45,41.01,1020.57,93.84,465.74
305,2/15/2016 3:00,19.46,56.89,1014.02,84.95,447.86
306,2/15/2016 4:00,23.55,62.96,1020.16,70.16,447.65
307,2/15/2016 5:00,23.35,63.47,1011.78,84.24,437.87
308,2/15/2016 6:00,9.26,41.66,1016.87,73.32,483.51
309,2/15/2016 7:00,10.3,41.46,1018.21,86.17,479.65
310,2/15/2016 8:00,20.94,58.16,1016.88,65.43,455.16
311,2/15/2016 9:00,23.13,71.25,1002.49,94.59,431.91
312,2/15/2016 10:00,12.77,41.5,1014.13,86.8,470.68
313,2/15/2016 11:00,28.29,69.13,1009.29,58.18,429.28
314,2/15/2016 12:00,19.13,59.21,1018.32,89.66,450.81
315,2/15/2016 13:00,24.44,73.5,1011.49,87.39,437.73
316,2/15/2016 14:00,20.32,44.6,1015.16,36.35,460.21
317,2/15/2016 15:00,20.54,69.05,1001.6,79.62,442.86
318,2/15/2016 16:00,12.16,45,1021.51,50.52,482.99
319,2/15/2016 17:00,28.09,65.27,1013.27,51.96,440
320,2/15/2016 18:00,9.25,41.82,1033.25,74.73,478.48
321,2/15/2016 19:00,21.75,49.82,1015.01,78.33,455.28
322,2/15/2016 20:00,23.7,66.56,1002.07,85.19,436.94
323,2/15/2016 21:00,16.22,37.87,1022.36,83.13,461.06
324,2/15/2016 22:00,24.75,69.45,1013.97,53.49,438.28
325,2/15/2016 23:00,10.48,39.58,1011.81,88.86,472.61
326,2/16/2016 0:00,29.53,70.79,1003.7,60.89,426.85
327,2/16/2016 1:00,12.59,39.72,1017.76,61.14,470.18
328,2/16/2016 2:00,23.5,54.42,1012.31,68.29,455.38
329,2/16/2016 3:00,29.01,66.56,1006.44,57.62,428.32
330,2/16/2016 4:00,9.75,42.49,1010.57,83.63,480.35
331,2/16/2016 5:00,19.55,56.53,1020.2,78.1,455.56
332,2/16/2016 6:00,21.05,58.33,1013.14,66.34,447.66
333,2/16/2016 7:00,24.72,68.67,1006.74,79.02,443.06
334,2/16/2016 8:00,21.19,58.86,1014.19,68.96,452.43
335,2/16/2016 9:00,10.77,41.54,1019.94,71.13,477.81
336,2/16/2016 10:00,28.68,73.77,1004.72,87.01,431.66
337,2/16/2016 11:00,29.87,73.91,1004.53,74.3,431.8
338,2/16/2016 12:00,22.99,68.67,1006.65,77.62,446.67
339,2/16/2016 13:00,24.66,60.29,1018,59.56,445.26
340,2/16/2016 14:00,32.63,69.89,1013.85,41.66,425.72
341,2/16/2016 15:00,31.38,72.29,1008.73,73.27,430.58
342,2/16/2016 16:00,23.87,60.27,1018.94,77.16,439.86
343,2/16/2016 17:00,25.6,59.15,1013.31,67.02,441.11
344,2/16/2016 18:00,27.62,71.14,1011.6,52.8,434.72
345,2/16/2016 19:00,30.1,67.45,1014.23,39.04,434.01
346,2/16/2016 20:00,12.19,41.17,1019.43,65.47,475.64
347,2/16/2016 21:00,13.11,41.58,1020.43,74.32,460.44
348,2/16/2016 22:00,28.29,68.67,1005.46,69.22,436.4
349,2/16/2016 23:00,13.45,40.73,1018.7,93.88,461.03
350,2/17/2016 0:00,10.98,41.54,1019.94,69.83,479.08
351,2/17/2016 1:00,26.48,69.14,1009.31,84.11,435.76
352,2/17/2016 2:00,13.07,45.51,1015.22,78.65,460.14
353,2/17/2016 3:00,25.56,75.6,1017.37,69.31,442.2
354,2/17/2016 4:00,22.68,50.78,1008.83,70.3,447.69
355,2/17/2016 5:00,28.86,73.67,1006.65,68.23,431.15
356,2/17/2016 6:00,22.7,63.56,1014.32,71.76,445
357,2/17/2016 7:00,27.89,73.21,1001.32,85.88,431.59
358,2/17/2016 8:00,13.78,44.47,1027.94,71.09,467.22
359,2/17/2016 9:00,28.14,51.43,1012.16,52.67,445.33
360,2/17/2016 10:00,11.8,45.09,1013.21,89.68,470.57
361,2/17/2016 11:00,10.71,39.61,1018.72,73.66,473.77
362,2/17/2016 12:00,24.54,60.29,1017.42,58.94,447.67
363,2/17/2016 13:00,11.54,40.05,1014.78,87.05,474.29
364,2/17/2016 14:00,29.47,71.32,1008.07,67,437.14
365,2/17/2016 15:00,29.24,69.05,1003.12,43.18,432.56
366,2/17/2016 16:00,14.51,41.79,1009.72,80.62,459.14
367,2/17/2016 17:00,22.91,60.07,1016.03,59.72,446.19
368,2/17/2016 18:00,27.02,71.77,1006.38,72.1,428.1
369,2/17/2016 19:00,13.49,44.47,1030.18,69.15,468.46
370,2/17/2016 20:00,30.24,66.75,1017.95,55.66,435.02
371,2/17/2016 21:00,23.19,48.6,1002.38,61.19,445.52
372,2/17/2016 22:00,17.73,40.55,1003.36,74.62,462.69
373,2/17/2016 23:00,18.62,61.27,1019.26,73.35,455.75
374,2/18/2016 0:00,12.85,40,1015.89,68.85,463.74
375,2/18/2016 1:00,32.33,69.68,1011.95,39.89,439.79
376,2/18/2016 2:00,25.09,58.95,1016.99,53.16,443.26
377,2/18/2016 3:00,29.45,69.13,1009.3,52.97,432.04
378,2/18/2016 4:00,16.91,43.96,1013.32,79.87,465.86
379,2/18/2016 5:00,14.09,45.87,1009.05,84.09,465.6
380,2/18/2016 6:00,10.73,25.36,1009.35,100.15,469.43
381,2/18/2016 7:00,23.2,49.3,1003.4,79.77,440.75
382,2/18/2016 8:00,8.21,38.91,1015.82,88.99,481.32
383,2/18/2016 9:00,9.3,40.56,1022.64,76.14,479.87
384,2/18/2016 10:00,16.97,39.16,1005.7,69.13,458.59
385,2/18/2016 11:00,23.69,71.97,1009.62,93.03,438.62
386,2/18/2016 12:00,25.13,59.44,1012.38,77.92,445.59
387,2/18/2016 13:00,9.86,43.56,1015.13,74.89,481.87
388,2/18/2016 14:00,11.33,41.5,1013.58,88.7,475.01
389,2/18/2016 15:00,26.95,48.41,1008.53,62.94,436.54
390,2/18/2016 16:00,15,40.66,1016.28,89.62,456.63
391,2/18/2016 17:00,20.76,62.52,1015.63,81.04,451.69
392,2/18/2016 18:00,14.29,39.59,1010.93,94.53,463.04
393,2/18/2016 19:00,19.74,67.71,1007.68,64.02,446.1
394,2/18/2016 20:00,26.68,59.92,1009.94,70.57,438.67
395,2/18/2016 21:00,14.24,41.4,1019.7,70.32,466.88
396,2/18/2016 22:00,21.98,48.41,1008.42,84.86,444.6
397,2/18/2016 23:00,22.75,59.39,1015.4,81.41,440.26
398,2/19/2016 0:00,8.34,40.96,1023.28,89.45,483.92
399,2/19/2016 1:00,11.8,41.2,1017.18,82.71,475.19
400,2/19/2016 2:00,8.81,44.68,1023.06,93.93,479.24
401,2/19/2016 3:00,30.05,73.68,1014.95,70.6,434.92
402,2/19/2016 4:00,16.01,65.46,1014,87.68,454.16
403,2/19/2016 5:00,21.75,58.79,1012.42,87.58,447.58
404,2/19/2016 6:00,13.94,41.26,1021.67,74.4,467.9
405,2/19/2016 7:00,29.25,69.13,1010.27,67.35,426.29
406,2/19/2016 8:00,22.33,45.87,1007.8,63.61,447.02
407,2/19/2016 9:00,16.43,41.79,1005.47,76.89,455.85
408,2/19/2016 10:00,11.5,40.22,1010.31,78.08,476.46
409,2/19/2016 11:00,23.53,68.94,1007.53,69.17,437.48
