TimeStamp,operating_pressure,operating_time,predicted_operating_time
2020/12/29 07:53,0.506,2.4,2.369747271
2020/12/29 07:54,0.525,2.5,2.370450866
2020/12/29 07:55,0.512,2.4,2.369753817
2020/12/29 07:56,0.523,2.3,2.370413888
2020/12/29 07:57,0.541,2.8,2.376694946
2020/12/29 07:58,0.559,2.2,2.618402585
2020/12/29 07:59,0.536,2.6,2.382371671
2020/12/29 08:00,0.537,2.8,2.379128155
2020/12/29 08:01,0.537,3,2.379128155
2020/12/29 08:02,0.548,2.4,2.467479018
2020/12/29 08:03,0.512,2.5,2.369753817
2020/12/29 08:04,0.529,2.6,2.373225404
2020/12/29 08:05,0.523,2.5,2.370413888
2020/12/29 08:06,0.555,2.7,2.531397033
2020/12/29 08:07,0.533,2.4,2.376099501
2020/12/29 08:08,0.551,2.5,2.429253779
2020/12/29 08:09,0.542,2.5,2.37105466
2020/12/29 08:10,0.552,2.3,2.433834955
2020/12/29 08:11,0.511,2.9,2.369752175
2020/12/29 08:12,0.524,2.7,2.370430522
2020/12/29 08:13,0.536,2.1,2.382371671
2020/12/29 08:14,0.532,2.4,2.371003168
2020/12/29 08:15,0.508,2.5,2.369748725
2020/12/29 08:16,0.559,2,2.618402585
2020/12/29 08:17,0.502,2.1,2.369745537
2020/12/29 08:18,0.549,2.1,2.470282615
2020/12/29 08:19,0.559,2.8,2.618402585
2020/12/29 08:20,0.548,2.2,2.467479018
2020/12/29 08:21,0.517,2.2,2.369768739
2020/12/29 08:22,0.546,2.8,2.415524801
2020/12/29 08:23,0.528,3,2.373179363
2020/12/29 08:25,0.535,2.4,2.380923534
2020/12/29 08:26,0.516,2.3,2.36976453
2020/12/29 08:27,0.51,2.6,2.36975081
2020/12/29 08:28,0.517,2.6,2.369768739
2020/12/29 08:29,0.5,2.5,2.36974503
2020/12/29 08:30,0.558,2.7,2.591054574
2020/12/29 08:31,0.55,2.8,2.427961742
2020/12/29 08:32,0.55,2.3,2.427961742
2020/12/29 08:33,0.552,2,2.433834955
2020/12/29 08:34,0.539,2.5,2.364781072
2020/12/29 08:35,0.513,2.6,2.369755793
2020/12/29 08:36,0.517,2.5,2.369768739
2020/12/29 08:37,0.535,2.9,2.380923534
2020/12/29 08:38,0.504,2.1,2.369746253
2020/12/29 08:39,0.506,2.2,2.369747271
2020/12/29 08:40,0.557,2.5,2.562387795
2020/12/29 08:41,0.542,2.5,2.37105466
2020/12/29 08:42,0.513,2,2.369755793
2020/12/29 08:43,0.515,2.7,2.369761053
2020/12/29 08:44,0.511,2.6,2.369752175
2020/12/29 08:45,0.541,2.7,2.376694946
2020/12/29 08:46,0.529,2.7,2.373225404
2020/12/29 08:47,0.511,2.6,2.369752175
2020/12/29 08:48,0.522,2.3,2.375844136
2020/12/29 08:49,0.514,2.5,2.369758176
2020/12/29 08:50,0.544,2.9,2.412633094
2020/12/29 08:51,0.527,2.2,2.377854068
2020/12/29 08:52,0.539,2.8,2.364781072
2020/12/29 08:53,0.546,2.7,2.415524801
2020/12/29 08:54,0.531,2.6,2.367726193
2020/12/29 08:55,0.509,2.2,2.369749673
2020/12/29 08:56,0.541,2.6,2.376694946
2020/12/29 08:57,0.53,2.1,2.367656514
2020/12/29 08:58,0.536,2.5,2.382371671
2020/12/29 08:59,0.525,2.7,2.370450866
2020/12/29 09:00,0.51,2.2,2.36975081
2020/12/29 09:01,0.519,2.6,2.375816291
2020/12/29 09:02,0.532,3,2.371003168
2020/12/29 09:03,0.508,2.8,2.369748725
2020/12/29 09:04,0.554,2.1,2.456623383
2020/12/29 09:05,0.545,2.1,2.413935234
2020/12/29 09:06,0.545,2.6,2.413935234
2020/12/29 09:07,0.501,2.3,2.369745262
2020/12/29 09:08,0.543,2.2,2.371920192
2020/12/29 09:09,0.546,2.8,2.415524801
2020/12/29 09:10,0.507,2.3,2.369747933
2020/12/29 09:11,0.519,2.1,2.375816291
2020/12/29 09:12,0.545,2.4,2.413935234
2020/12/29 09:13,0.522,2,2.375844136
2020/12/29 09:14,0.514,2.5,2.369758176
2020/12/29 09:15,0.553,2.1,2.436873245
2020/12/29 09:16,0.523,2.2,2.370413888
2020/12/29 09:17,0.544,2.3,2.412633094
2020/12/29 09:18,0.536,2.6,2.382371671
2020/12/29 09:19,0.521,2.7,2.375832976
2020/12/29 09:20,0.509,2.9,2.369749673
2020/12/29 09:21,0.559,2.3,2.618402585
2020/12/29 09:22,0.503,2.3,2.369745864
2020/12/29 09:23,0.533,2.6,2.376099501
2020/12/29 09:24,0.556,2.5,2.529277926
2020/12/29 09:25,0.538,2.4,2.370103526
2020/12/29 09:26,0.54,2.9,2.361164741
2020/12/29 09:27,0.532,2.9,2.371003168
2020/12/29 09:28,0.557,2.2,2.562387795
2020/12/29 09:29,0.542,2.1,2.37105466
2020/12/29 09:30,0.55,2.9,2.427961742
2020/12/29 09:31,0.508,2.3,2.369748725
2020/12/29 09:32,0.546,2.3,2.415524801
2020/12/29 09:33,0.513,2.4,2.369755793
2020/12/29 09:34,0.537,2.3,2.379128155
2020/12/29 09:35,0.553,2.9,2.436873245
2020/12/29 09:36,0.522,2.3,2.375844136
2020/12/29 09:37,0.546,2.1,2.415524801
2020/12/29 09:38,0.555,2.3,2.531397033
2020/12/29 09:39,0.55,2.2,2.427961742
2020/12/29 09:40,0.506,2.7,2.369747271
2020/12/29 09:41,0.524,2.2,2.370430522
2020/12/29 09:42,0.558,2.6,2.591054574
2020/12/29 09:43,0.533,2.7,2.376099501
2020/12/29 09:44,0.509,2.3,2.369749673
2020/12/29 09:45,0.518,2.5,2.369773841
2020/12/29 09:46,0.549,2.9,2.470282615
2020/12/29 09:47,0.541,2.5,2.376694946
2020/12/29 09:48,0.519,2.4,2.375816291
2020/12/29 09:49,0.539,2.1,2.364781072
2020/12/29 09:50,0.549,2.7,2.470282615
2020/12/29 09:51,0.559,2.3,2.618402585
2020/12/29 09:52,0.521,2.8,2.375832976
2020/12/29 09:53,0.539,2.8,2.364781072
2020/12/29 09:54,0.545,2.2,2.413935234
2020/12/29 09:55,0.515,2.7,2.369761053
2020/12/29 09:56,0.54,2.1,2.361164741
2020/12/29 09:57,0.52,2.3,2.375823817
2020/12/29 09:58,0.537,2.5,2.379128155
2020/12/29 09:59,0.537,2.2,2.379128155
2020/12/29 10:00,0.507,2.2,2.369747933
2020/12/29 10:01,0.552,2.6,2.433834955
2020/12/29 10:02,0.544,2.5,2.412633094
2020/12/29 10:03,0.548,2.1,2.467479018
2020/12/29 10:04,0.541,2.9,2.376694946
2020/12/29 10:05,0.5,2.3,2.36974503
2020/12/29 10:06,0.522,2.8,2.375844136
2020/12/29 10:07,0.516,2.7,2.36976453
2020/12/29 10:08,0.536,2.2,2.382371671
2020/12/29 10:09,0.518,2.6,2.369773841
2020/12/29 10:10,0.557,2.1,2.562387795
2020/12/29 10:11,0.537,2.5,2.379128155
2020/12/29 10:12,0.554,2.5,2.456623383
2020/12/29 10:13,0.526,2.5,2.377823529
2020/12/29 10:14,0.526,2.2,2.377823529
2020/12/29 10:15,0.515,2.5,2.369761053
2020/12/29 10:16,0.558,2.5,2.591054574
2020/12/29 10:17,0.529,2.8,2.373225404
2020/12/29 10:18,0.519,2.7,2.375816291
2020/12/29 10:19,0.521,2.2,2.375832976
2020/12/29 10:20,0.556,2.9,2.529277926
2020/12/29 10:21,0.512,2.1,2.369753817
2020/12/29 10:22,0.503,2.9,2.369745864
2020/12/29 10:23,0.536,2.8,2.382371671
2020/12/29 10:24,0.543,2.9,2.371920192
2020/12/29 10:25,0.531,2.5,2.367726193
2020/12/29 10:26,0.526,2.3,2.377823529
2020/12/29 10:27,0.558,2.8,2.591054574
2020/12/29 10:28,0.552,2.3,2.433834955
2020/12/29 10:29,0.54,2.4,2.361164741
2020/12/29 10:30,0.52,2.6,2.375823817
2020/12/29 10:31,0.544,2.1,2.412633094
2020/12/29 10:32,0.505,2.2,2.369746717
2020/12/29 10:33,0.55,3,2.427961742
2020/12/29 10:34,0.525,2.9,2.370450866
2020/12/29 10:35,0.522,2.8,2.375844136
2020/12/29 10:36,0.557,3,2.562387795
2020/12/29 10:37,0.51,2,2.36975081
2020/12/29 10:38,0.556,2.5,2.529277926
2020/12/29 10:39,0.515,2.8,2.369761053
2020/12/29 10:40,0.552,2.7,2.433834955
2020/12/29 10:41,0.508,2.9,2.369748725
2020/12/29 10:42,0.554,2.2,2.456623383
2020/12/29 10:43,0.536,2,2.382371671
2020/12/29 10:44,0.522,2.8,2.375844136
2020/12/29 10:45,0.526,2.1,2.377823529
2020/12/29 10:46,0.501,2.4,2.369745262
2020/12/29 10:47,0.549,2.9,2.470282615
2020/12/29 10:48,0.524,2.4,2.370430522
2020/12/29 10:49,0.502,2.6,2.369745537
2020/12/29 10:57,0.5,2.5,2.36974503
2020/12/29 10:58,0.536,2.1,2.382371671
2020/12/29 10:59,0.546,2.9,2.415524801
2020/12/29 11:00,0.554,2.2,2.456623383
2020/12/29 11:44,0.528,2,2.373179363
2020/12/29 11:45,0.512,2.1,2.369753817
2020/12/29 11:46,0.52,2.1,2.375823817
2020/12/29 11:47,0.522,2.6,2.375844136
2020/12/29 11:48,0.559,2.4,2.618402585
2020/12/29 11:49,0.524,2.7,2.370430522
2020/12/29 11:50,0.541,2.9,2.376694946
2020/12/29 11:51,0.509,2.7,2.369749673
2020/12/29 11:52,0.56,2.8,2.606790256
2020/12/29 11:53,0.528,2.6,2.373179363
2020/12/29 11:54,0.553,2.7,2.436873245
2020/12/29 11:55,0.555,3,2.531397033
2020/12/29 11:56,0.511,2.3,2.369752175
2020/12/29 11:57,0.537,2.1,2.379128155
2020/12/29 11:58,0.525,2.2,2.370450866
2020/12/29 11:59,0.515,2.1,2.369761053
2020/12/29 12:00,0.54,2.3,2.361164741
2020/12/29 12:01,0.533,2.9,2.376099501
2020/12/29 12:02,0.508,2.1,2.369748725
2020/12/29 12:03,0.532,2.5,2.371003168
2020/12/29 12:04,0.549,2.4,2.470282615
2020/12/29 12:05,0.524,2.8,2.370430522
2020/12/29 12:06,0.536,2.6,2.382371671
2020/12/29 12:07,0.505,2.3,2.369746717
2020/12/29 12:08,0.529,2.2,2.373225404
2020/12/29 12:09,0.515,2.5,2.369761053
2020/12/29 12:10,0.546,2.9,2.415524801
2020/12/29 12:11,0.545,2.7,2.413935234
2020/12/29 12:12,0.555,2.7,2.531397033
2020/12/29 12:13,0.514,2.6,2.369758176
2020/12/29 12:14,0.544,2.5,2.412633094
2020/12/29 12:15,0.536,2.5,2.382371671
2020/12/29 12:16,0.535,2.6,2.380923534
2020/12/29 12:18,0.547,2.8,2.465143749
2020/12/29 12:19,0.56,2.3,2.606790256
2020/12/29 12:20,0.541,2.1,2.376694946
2020/12/29 12:21,0.527,2.1,2.377854068
2020/12/29 12:22,0.525,2,2.370450866
2020/12/29 12:23,0.56,2.9,2.606790256
2020/12/29 12:24,0.51,2.2,2.36975081
2020/12/29 12:25,0.532,2.9,2.371003168
2020/12/29 12:26,0.517,2.1,2.369768739
2020/12/29 12:27,0.522,2.9,2.375844136
2020/12/29 12:28,0.544,2.4,2.412633094
2020/12/29 12:29,0.534,2.8,2.376515269
2020/12/29 12:30,0.516,2.6,2.36976453
2020/12/29 12:31,0.514,2.9,2.369758176
2020/12/29 12:32,0.5,2.6,2.36974503
2020/12/29 12:33,0.545,2.8,2.413935234
2020/12/29 12:34,0.534,2.1,2.376515269
2020/12/29 12:35,0.504,2.5,2.369746253
2020/12/29 12:36,0.519,2.8,2.375816291
2020/12/29 12:37,0.548,3,2.467479018
2020/12/29 12:38,0.507,2.1,2.369747933
2020/12/29 12:39,0.516,2.4,2.36976453
2020/12/29 12:40,0.526,2.8,2.377823529
2020/12/29 12:41,0.517,2.5,2.369768739
2020/12/29 12:42,0.532,2.2,2.371003168
2020/12/29 12:43,0.509,2.6,2.369749673
2020/12/29 12:44,0.503,3,2.369745864
2020/12/29 12:45,0.519,2.6,2.375816291
2020/12/29 12:46,0.537,2.8,2.379128155
2020/12/29 12:47,0.509,2.8,2.369749673
2020/12/29 12:48,0.507,2.3,2.369747933
2020/12/29 12:49,0.545,3,2.413935234
2020/12/29 12:50,0.508,2.8,2.369748725
2020/12/29 12:51,0.51,2.1,2.36975081
2020/12/29 12:52,0.524,2.3,2.370430522
2020/12/29 12:53,0.53,2.5,2.367656514
2020/12/29 12:54,0.524,2,2.370430522
2020/12/29 12:55,0.557,2.7,2.562387795
2020/12/29 12:56,0.537,2,2.379128155
2020/12/29 12:57,0.543,2,2.371920192
2020/12/29 12:58,0.509,2.7,2.369749673
2020/12/29 12:59,0.53,2.5,2.367656514
2020/12/29 13:00,0.52,2.8,2.375823817
2020/12/29 13:01,0.551,2.3,2.429253779
2020/12/29 13:02,0.509,2.4,2.369749673
2020/12/29 13:03,0.51,2.1,2.36975081
2020/12/29 13:04,0.544,3,2.412633094
2020/12/29 13:05,0.535,2.6,2.380923534
2020/12/29 13:06,0.514,2.8,2.369758176
2020/12/29 13:07,0.537,2.2,2.379128155
2020/12/29 13:08,0.537,2.6,2.379128155
2020/12/29 13:09,0.548,2.3,2.467479018
2020/12/29 13:10,0.533,2.3,2.376099501
2020/12/29 13:11,0.526,2.4,2.377823529
2020/12/29 13:12,0.512,2.9,2.369753817
2020/12/29 13:13,0.539,2.7,2.364781072
2020/12/29 13:14,0.519,2.6,2.375816291
2020/12/29 13:15,0.531,2.5,2.367726193
2020/12/29 13:17,0.522,2.3,2.375844136
2020/12/29 13:18,0.507,2,2.369747933
2020/12/29 13:19,0.51,2.7,2.36975081
2020/12/29 13:20,0.502,2.7,2.369745537
2020/12/29 13:21,0.525,2.6,2.370450866
2020/12/29 13:22,0.546,2.3,2.415524801
2020/12/29 13:23,0.555,3,2.531397033
2020/12/29 13:24,0.505,2.4,2.369746717
2020/12/29 13:25,0.519,2,2.375816291
2020/12/29 13:26,0.501,2.1,2.369745262
2020/12/29 13:27,0.518,2.8,2.369773841
2020/12/29 13:28,0.559,2.3,2.618402585
2020/12/29 13:29,0.527,2.6,2.377854068
2020/12/29 13:30,0.503,2.2,2.369745864
2020/12/29 13:31,0.52,2.1,2.375823817
2020/12/29 13:32,0.533,2,2.376099501
2020/12/29 13:33,0.536,2.8,2.382371671
2020/12/29 13:34,0.539,2.1,2.364781072
2020/12/29 13:35,0.523,2.8,2.370413888
2020/12/29 13:36,0.556,2.9,2.529277926
2020/12/29 13:37,0.502,2.8,2.369745537
2020/12/29 13:38,0.543,2.5,2.371920192
2020/12/29 13:39,0.52,2.2,2.375823817
2020/12/29 13:40,0.538,2,2.370103526
2020/12/29 13:41,0.549,2.3,2.470282615
2020/12/29 13:42,0.515,2.1,2.369761053
2020/12/29 13:43,0.525,2.9,2.370450866
2020/12/29 13:44,0.552,2.2,2.433834955
2020/12/29 13:45,0.501,2.1,2.369745262
2020/12/29 13:46,0.543,2.4,2.371920192
2020/12/29 13:47,0.543,2.7,2.371920192
2020/12/29 13:48,0.537,2.2,2.379128155
2020/12/29 13:49,0.506,2.1,2.369747271
2020/12/29 13:50,0.53,2.6,2.367656514
2020/12/29 13:51,0.534,2.6,2.376515269
2020/12/29 13:52,0.552,2.6,2.433834955
2020/12/29 13:53,0.513,2.4,2.369755793
2020/12/29 13:54,0.522,2.8,2.375844136
2020/12/29 13:55,0.526,2.8,2.377823529
2020/12/29 13:56,0.513,2,2.369755793
2020/12/29 13:57,0.527,3,2.377854068
2020/12/29 13:58,0.513,2.9,2.369755793
2020/12/29 13:59,0.507,3,2.369747933
2020/12/29 14:00,0.542,2.4,2.37105466
2020/12/29 14:01,0.509,2.6,2.369749673
2020/12/29 14:02,0.559,2.9,2.618402585
2020/12/29 14:03,0.553,2.2,2.436873245
2020/12/29 14:04,0.515,2.4,2.369761053
2020/12/29 14:05,0.549,2.7,2.470282615
2020/12/29 14:06,0.527,2.7,2.377854068
2020/12/29 14:07,0.504,2.3,2.369746253
2020/12/29 14:08,0.553,2.4,2.436873245
2020/12/29 14:09,0.54,2.3,2.361164741
2020/12/29 14:10,0.521,2.8,2.375832976
2020/12/29 14:11,0.502,3,2.369745537
2020/12/29 14:12,0.538,2.7,2.370103526
2020/12/29 14:13,0.509,2.4,2.369749673
2020/12/29 14:14,0.529,2.8,2.373225404
2020/12/29 14:15,0.544,2.9,2.412633094
2020/12/29 14:16,0.525,2.5,2.370450866
2020/12/29 14:17,0.545,2.1,2.413935234
2020/12/29 14:18,0.552,2.6,2.433834955
2020/12/29 14:19,0.517,2,2.369768739
2020/12/29 14:20,0.538,2.4,2.370103526
2020/12/29 14:22,0.536,2.6,2.382371671
2020/12/29 14:23,0.557,2.9,2.562387795
2020/12/29 14:24,0.538,2.5,2.370103526
2020/12/29 14:25,0.557,2.7,2.562387795
2020/12/29 14:26,0.547,2.1,2.465143749
2020/12/29 14:27,0.534,2,2.376515269
2020/12/29 14:28,0.524,2.1,2.370430522
2020/12/29 14:29,0.519,2.9,2.375816291
2020/12/29 14:30,0.501,3,2.369745262
2020/12/29 14:31,0.502,2.1,2.369745537
2020/12/29 14:32,0.555,2.3,2.531397033
2020/12/29 14:33,0.501,2.4,2.369745262
2020/12/29 14:34,0.549,2.5,2.470282615
2020/12/29 14:35,0.514,2.8,2.369758176
2020/12/29 14:38,0.555,2.2,2.531397033
2020/12/29 14:39,0.501,2.3,2.369745262
2020/12/29 14:40,0.549,2.6,2.470282615
2020/12/29 14:54,0.507,2.6,2.369747933
2020/12/29 14:55,0.542,2,2.37105466
2020/12/29 14:56,0.513,2.6,2.369755793
2020/12/29 14:57,0.547,2.3,2.465143749
2020/12/29 14:58,0.512,2.9,2.369753817
2020/12/29 14:59,0.523,3,2.370413888
2020/12/29 15:00,0.52,2.3,2.375823817
2020/12/29 15:01,0.502,2.8,2.369745537
2020/12/29 15:02,0.534,2,2.376515269
2020/12/29 15:04,0.541,2.3,2.376694946
2020/12/29 15:05,0.526,2.2,2.377823529
2020/12/29 15:06,0.504,2.7,2.369746253
2020/12/29 15:07,0.527,2.1,2.377854068
2020/12/29 15:08,0.558,2.3,2.591054574
2020/12/29 15:09,0.538,2.4,2.370103526
2020/12/29 15:10,0.526,2.6,2.377823529
2020/12/29 15:11,0.553,2.6,2.436873245
2020/12/29 15:12,0.522,2.9,2.375844136
2020/12/29 15:13,0.543,2.3,2.371920192
2020/12/29 15:14,0.522,2,2.375844136
2020/12/29 15:15,0.533,2.7,2.376099501
2020/12/29 15:16,0.504,2.4,2.369746253
2020/12/29 15:17,0.514,2.3,2.369758176
2020/12/29 15:18,0.507,2.2,2.369747933
2020/12/29 15:19,0.552,2.1,2.433834955
2020/12/29 15:20,0.548,2.3,2.467479018
2020/12/29 15:21,0.536,2.2,2.382371671
2020/12/29 15:22,0.559,2.8,2.618402585
2020/12/29 15:23,0.54,2.6,2.361164741
2020/12/29 15:24,0.551,2.9,2.429253779
2020/12/29 15:25,0.551,2.1,2.429253779
2020/12/29 15:26,0.555,2.9,2.531397033
2020/12/29 15:27,0.508,2.8,2.369748725
2020/12/29 15:28,0.54,2.1,2.361164741
2020/12/29 15:29,0.557,2.7,2.562387795
2020/12/29 15:30,0.509,2.4,2.369749673
2020/12/29 15:31,0.518,2.1,2.369773841
2020/12/29 15:32,0.556,3,2.529277926
2020/12/29 15:33,0.543,2.3,2.371920192
2020/12/29 15:34,0.544,2.7,2.412633094
2020/12/29 15:35,0.5,2.5,2.36974503
2020/12/29 15:40,0.54,2.5,2.361164741
2020/12/29 15:41,0.508,3,2.369748725
2020/12/29 15:42,0.521,2.4,2.375832976
2020/12/29 15:43,0.531,2.4,2.367726193
2020/12/29 17:05,0.5,2.3,2.36974503
2020/12/29 17:06,0.534,2,2.376515269
2020/12/29 17:07,0.503,3,2.369745864
2020/12/29 17:39,0.546,2.5,2.415524801
2020/12/29 17:40,0.521,2.4,2.375832976
2020/12/29 17:47,0.533,3,2.376099501
2020/12/29 17:48,0.521,2.3,2.375832976
2020/12/29 17:49,0.558,2.1,2.591054574
2020/12/29 17:50,0.534,3,2.376515269
2020/12/29 18:30,0.5,2.4,2.36974503
2020/12/29 18:31,0.539,2.7,2.364781072
2020/12/29 18:32,0.538,3,2.370103526
2020/12/29 18:33,0.556,2.7,2.529277926
2020/12/29 18:34,0.539,2.5,2.364781072
2020/12/29 18:35,0.538,2.2,2.370103526
2020/12/29 18:36,0.513,2.5,2.369755793
2020/12/29 18:37,0.543,2,2.371920192
2020/12/29 18:38,0.517,2.7,2.369768739
2020/12/29 18:39,0.552,2.1,2.433834955
2020/12/29 18:40,0.514,2.8,2.369758176
2020/12/29 18:41,0.553,2.3,2.436873245
2020/12/29 18:42,0.525,2.8,2.370450866
2020/12/29 18:43,0.508,2.6,2.369748725
2020/12/29 18:44,0.53,2.7,2.367656514
2020/12/29 18:45,0.521,2.9,2.375832976
2020/12/29 18:46,0.53,2.3,2.367656514
2020/12/29 18:47,0.503,2.9,2.369745864
2020/12/29 18:48,0.535,2.1,2.380923534
2020/12/29 18:49,0.512,2.9,2.369753817
2020/12/29 18:50,0.513,3,2.369755793
2020/12/29 18:51,0.519,2.9,2.375816291
2020/12/29 18:52,0.537,2.5,2.379128155
2020/12/29 18:53,0.509,2.9,2.369749673
2020/12/29 18:54,0.547,3,2.465143749
2020/12/29 18:55,0.554,2,2.456623383
2020/12/29 18:56,0.529,2.6,2.373225404
2020/12/29 18:57,0.56,2.8,2.606790256
2020/12/29 18:58,0.545,2.9,2.413935234
2020/12/29 18:59,0.56,2.3,2.606790256
2020/12/29 19:00,0.515,2.6,2.369761053
2020/12/29 19:01,0.508,2.6,2.369748725
2020/12/29 19:02,0.504,2.3,2.369746253
2020/12/29 19:03,0.502,2.8,2.369745537
2020/12/29 19:04,0.556,2.8,2.529277926
2020/12/29 19:05,0.54,2.6,2.361164741
2020/12/29 19:06,0.531,2.4,2.367726193
2020/12/29 19:07,0.511,3,2.369752175
2020/12/29 19:08,0.549,2.6,2.470282615
2020/12/29 19:09,0.503,2.7,2.369745864
2020/12/29 19:10,0.528,2.2,2.373179363
2020/12/29 19:11,0.559,2.4,2.618402585
2020/12/29 19:12,0.522,3,2.375844136
2020/12/29 19:13,0.516,2.5,2.36976453
2020/12/29 19:14,0.508,2.5,2.369748725
2020/12/29 19:15,0.517,2.5,2.369768739
2020/12/29 19:16,0.528,2.7,2.373179363
2020/12/29 19:17,0.515,2.5,2.369761053
2020/12/29 19:18,0.537,2.2,2.379128155
2020/12/29 19:19,0.537,2.9,2.379128155
2020/12/29 19:20,0.556,2.4,2.529277926
2020/12/29 19:21,0.526,2.1,2.377823529
2020/12/29 19:22,0.531,2,2.367726193
2020/12/29 19:23,0.535,2.6,2.380923534
2020/12/29 19:24,0.501,2.5,2.369745262
2020/12/29 19:25,0.559,2,2.618402585
2020/12/29 19:26,0.533,2.7,2.376099501
2020/12/29 19:27,0.56,2.4,2.606790256
2020/12/29 19:28,0.544,2.2,2.412633094
2020/12/29 19:29,0.526,2.8,2.377823529
2020/12/29 19:30,0.514,2,2.369758176
2020/12/29 19:31,0.503,2.1,2.369745864
2020/12/29 19:32,0.53,2.1,2.367656514
2020/12/29 19:33,0.548,2.4,2.467479018
2020/12/29 19:34,0.56,2.2,2.606790256
2020/12/29 19:35,0.502,2.7,2.369745537
2020/12/29 19:36,0.551,2.5,2.429253779
2020/12/29 19:37,0.528,2.2,2.373179363
2020/12/29 19:38,0.55,2.3,2.427961742
2020/12/29 19:39,0.549,2.3,2.470282615
2020/12/29 19:40,0.545,2.2,2.413935234
2020/12/29 19:41,0.535,2.5,2.380923534
2020/12/29 19:42,0.509,2.3,2.369749673
2020/12/29 19:43,0.502,2.8,2.369745537
2020/12/29 19:44,0.528,2,2.373179363
2020/12/29 19:45,0.521,2.7,2.375832976
2020/12/29 19:46,0.543,2.9,2.371920192
2020/12/29 19:47,0.509,2.1,2.369749673
2020/12/29 19:48,0.555,2.4,2.531397033
2020/12/29 19:49,0.528,2.4,2.373179363
2020/12/29 19:50,0.532,2.7,2.371003168
2020/12/29 19:51,0.558,2.3,2.591054574
2020/12/29 19:52,0.52,2.8,2.375823817
2020/12/29 19:53,0.545,2.1,2.413935234
2020/12/29 19:54,0.503,2.3,2.369745864
2020/12/29 19:55,0.555,2.2,2.531397033
2020/12/29 19:56,0.56,2.9,2.606790256
2020/12/29 19:57,0.519,2.2,2.375816291
2020/12/29 19:58,0.53,2.6,2.367656514
2020/12/29 19:59,0.515,2.5,2.369761053
2020/12/29 20:00,0.533,2.9,2.376099501
2020/12/29 20:01,0.538,2.6,2.370103526
2020/12/29 20:02,0.518,2.6,2.369773841
2020/12/29 20:03,0.535,2.1,2.380923534
2020/12/29 20:04,0.509,2.8,2.369749673
2020/12/29 20:05,0.55,2.5,2.427961742
2020/12/29 20:06,0.556,2.1,2.529277926
2020/12/29 20:07,0.532,2.4,2.371003168
2020/12/29 20:08,0.528,2.8,2.373179363
2020/12/29 20:09,0.5,3,2.36974503
2020/12/29 20:10,0.538,3,2.370103526
2020/12/29 20:11,0.534,3,2.376515269
2020/12/29 20:12,0.55,2.1,2.427961742
2020/12/29 20:13,0.518,2.3,2.369773841
2020/12/29 20:14,0.517,2,2.369768739
2020/12/29 20:15,0.507,2.9,2.369747933
